,physiology_rmssd,physiology_hr,physiology_scl,computer_snkeystrokes,computer_snchars,computer_sndirectionkeys,computer_snrightclicked,computer_sndoubleclicked,computer_snshortcutkeys,computer_sntabfocuschange,computer_sndragged,computer_snwheel,computer_snappchange,computer_snerrorkeys,computer_snleftclicked,computer_snspaces,computer_snspecialkeys,computer_snmouseact,computer_unnamed:_20,facial_unnamed:_45
physiology_rmssd,1.0,0.9999248477093662,0.432003534949748,0.005340520704210335,0.009004031203443928,0.02955173088177196,0.026002985395029855,0.026216923591944538,0.02634628715077404,0.02672050133722983,0.02639239845861772,0.029527219730584992,0.027719963266480494,0.02293122131486846,0.029242605640023865,0.023418389120004927,0.022583766024207162,0.03425568948260509,,
physiology_hr,0.9999248477093662,1.0,0.43183965323809426,0.005494897908804751,0.00920744163038769,0.030004758560042696,0.026472547122108135,0.02668387038203671,0.026822190131018005,0.027176982648064472,0.02686046257413438,0.03001249116201803,0.028159350373562264,0.023465554456315423,0.029699542221140775,0.023846975248290582,0.023014356566282132,0.034721279326674244,,
physiology_scl,0.432003534949748,0.43183965323809426,1.0,0.1030571177769891,0.0919211112761332,0.08482948721321784,0.07855573293458108,0.07856316252177405,0.07845539582412596,0.0772366188789563,0.07793578116763795,0.07734010933196384,0.07776881526814938,0.08447641888550134,0.07913071686042787,0.08378545666415745,0.09651846563758106,0.07660619731166506,,
computer_snkeystrokes,0.005340520704210335,0.005494897908804751,0.1030571177769891,1.0,0.9804347324216792,0.849178991556285,0.8439348426829285,0.8437467787821591,0.8436537841532715,0.8412734640323808,0.8409860188821205,0.8340409921215166,0.8414004391912424,0.8771136471161138,0.8339065297086008,0.8871534511156585,0.9276688950202563,0.8127566798649696,,
computer_snchars,0.009004031203443928,0.00920744163038769,0.0919211112761332,0.9804347324216792,1.0,0.9185738116669365,0.9200332265375479,0.9198391945658398,0.9194899519328156,0.9181035630889259,0.9177591307582015,0.912713225776312,0.917670563324356,0.9380186579727116,0.9122789637431709,0.9506841975370867,0.9624381869096904,0.8953781023430858,,
computer_sndirectionkeys,0.02955173088177196,0.030004758560042696,0.08482948721321784,0.849178991556285,0.9185738116669365,1.0,0.9972937498614386,0.9972605560054274,0.9973688714834317,0.9969942389096084,0.9969449543113842,0.9956148789592179,0.9969041138722826,0.9926160353993561,0.9957794028128187,0.9934814310518983,0.9807099525821679,0.989745440618539,,
computer_snrightclicked,0.026002985395029855,0.026472547122108135,0.07855573293458108,0.8439348426829285,0.9200332265375479,0.9972937498614386,1.0,0.9999474993366883,0.9999049487941444,0.9997933996620441,0.9997202513933936,0.9985561072118816,0.9996031817118877,0.9946070887567677,0.99882971595398,0.9958329121733702,0.9761535632415372,0.9932610280580528,,
computer_sndoubleclicked,0.026216923591944538,0.02668387038203671,0.07856316252177405,0.8437467787821591,0.9198391945658398,0.9972605560054274,0.9999474993366883,1.0,0.9998995240673731,0.9997539357339195,0.9997121951783169,0.9985477478880799,0.9995888779134732,0.9945307248182482,0.9988707135098057,0.9957582943698208,0.9761151982252861,0.9934467276315098,,
computer_snshortcutkeys,0.02634628715077404,0.026822190131018005,0.07845539582412596,0.8436537841532715,0.9194899519328156,0.9973688714834317,0.9999049487941444,0.9998995240673731,1.0,0.9997367237403489,0.9996910161582168,0.9985465468980761,0.9995773869339507,0.9944698089970879,0.9988459815681293,0.9956703667851167,0.9763338444057653,0.9934450936617281,,
computer_sntabfocuschange,0.02672050133722983,0.027176982648064472,0.0772366188789563,0.8412734640323808,0.9181035630889259,0.9969942389096084,0.9997933996620441,0.9997539357339195,0.9997367237403489,1.0,0.9995436075370175,0.9986329375065688,0.9995506775846978,0.9939698740705236,0.9989287814386764,0.9951537834441092,0.9750336587877214,0.9937196123486862,,
computer_sndragged,0.02639239845861772,0.02686046257413438,0.07793578116763795,0.8409860188821205,0.9177591307582015,0.9969449543113842,0.9997202513933936,0.9997121951783169,0.9996910161582168,0.9995436075370175,1.0,0.9983894534463541,0.9994368288153602,0.9939316595601978,0.9993380129465224,0.9950762223081054,0.9750029162604713,0.9950617384035967,,
computer_snwheel,0.029527219730584992,0.03001249116201803,0.07734010933196384,0.8340409921215166,0.912713225776312,0.9956148789592179,0.9985561072118816,0.9985477478880799,0.9985465468980761,0.9986329375065688,0.9983894534463541,1.0,0.9982293636046571,0.9918624396664304,0.9977871316275072,0.99303151105539,0.9714759398646751,0.9953291723834471,,
computer_snappchange,0.027719963266480494,0.028159350373562264,0.07776881526814938,0.8414004391912424,0.917670563324356,0.9969041138722826,0.9996031817118877,0.9995888779134732,0.9995773869339507,0.9995506775846978,0.9994368288153602,0.9982293636046571,1.0,0.9937177634157645,0.9990329091946114,0.9949331195957527,0.975414760691022,0.9938864592484667,,
computer_snerrorkeys,0.02293122131486846,0.023465554456315423,0.08447641888550134,0.8771136471161138,0.9380186579727116,0.9926160353993561,0.9946070887567677,0.9945307248182482,0.9944698089970879,0.9939698740705236,0.9939316595601978,0.9918624396664304,0.9937177634157645,1.0,0.9920885854645602,0.9958219367281537,0.9884738617682227,0.9840009593162218,,
computer_snleftclicked,0.029242605640023865,0.029699542221140775,0.07913071686042787,0.8339065297086008,0.9122789637431709,0.9957794028128187,0.99882971595398,0.9988707135098057,0.9988459815681293,0.9989287814386764,0.9993380129465224,0.9977871316275072,0.9990329091946114,0.9920885854645602,1.0,0.9930097488709855,0.9719814645158568,0.9968328415260166,,
computer_snspaces,0.023418389120004927,0.023846975248290582,0.08378545666415745,0.8871534511156585,0.9506841975370867,0.9934814310518983,0.9958329121733702,0.9957582943698208,0.9956703667851167,0.9951537834441092,0.9950762223081054,0.99303151105539,0.9949331195957527,0.9958219367281537,0.9930097488709855,1.0,0.987568378394716,0.9846429439733388,,
computer_snspecialkeys,0.022583766024207162,0.023014356566282132,0.09651846563758106,0.9276688950202563,0.9624381869096904,0.9807099525821679,0.9761535632415372,0.9761151982252861,0.9763338444057653,0.9750336587877214,0.9750029162604713,0.9714759398646751,0.975414760691022,0.9884738617682227,0.9719814645158568,0.987568378394716,1.0,0.9606698919102032,,
computer_snmouseact,0.03425568948260509,0.034721279326674244,0.07660619731166506,0.8127566798649696,0.8953781023430858,0.989745440618539,0.9932610280580528,0.9934467276315098,0.9934450936617281,0.9937196123486862,0.9950617384035967,0.9953291723834471,0.9938864592484667,0.9840009593162218,0.9968328415260166,0.9846429439733388,0.9606698919102032,1.0,,
computer_unnamed:_20,,,,,,,,,,,,,,,,,,,,
facial_unnamed:_45,,,,,,,,,,,,,,,,,,,,
